seconds,hours,Date & Time, Pressure (mBar), Weight (g),dv,dt,Flux (LMH),,,Surface area (m2),0.011545353,
4,0.001111111,10-08-22 05:37:03,74.87,32.05,0,0,0,,,Ozonated Water,,
10,0.002777778,10-08-22 05:37:09,77.35,32.49,0.44,0.001666667,22.86633827,,,filtration time,24.6,hours
15,0.004166667,10-08-22 05:37:15,81.07,32.77,0.28,0.001388889,17.46156951,,,flux,21.82694617,LMH
20,0.005555556,10-08-22 05:37:20,71.14,33.19,0.42,0.001388889,26.19235426,,,backwash flux,140.9917912,LMH
25,0.006944444,10-08-22 05:37:25,83.56,33.54,0.35,0.001388888,21.8269776,,,filtration cycle (B),30,mins
30,0.008333333,10-08-22 05:37:30,79.83,33.85,0.31,0.001388889,19.33245195,,,backwash cycle (B),0.5,min
36,0.01,10-08-22 05:37:35,76.11,34.3,0.45,0.001666667,23.38602778,,,Filtration Efficiency (B),89.23411837,%
41,0.011388889,10-08-22 05:37:40,81.07,34.58,0.28,0.001388889,17.46156951,,,Temperature,27,C
46,0.012777778,10-08-22 05:37:46,71.14,34.99,0.41,0.001388889,25.56872678,,,,,
51,0.014166667,10-08-22 05:37:51,82.32,35.34,0.35,0.001388889,21.82696188,,,,,
56,0.015555556,10-08-22 05:37:56,79.83,35.66,0.32,0.001388889,19.95607943,,,,,
61,0.016944444,10-08-22 05:38:01,76.11,36.1,0.44,0.001388888,27.43962898,,,,,
67,0.018611111,10-08-22 05:38:06,82.32,36.38,0.28,0.001666667,14.55130617,,,,,
72,0.02,10-08-22 05:38:11,72.39,36.79,0.41,0.001388889,25.56872678,,,,,
77,0.021388889,10-08-22 05:38:17,82.32,37.16,0.37,0.001388889,23.07421685,,,,,
82,0.022777778,10-08-22 05:38:22,81.07,37.46,0.3,0.001388889,18.70882447,,,,,
87,0.024166667,10-08-22 05:38:27,74.87,37.92,0.46,0.001388889,28.68686419,,,,,
93,0.025833333,10-08-22 05:38:32,82.32,38.21,0.29,0.001666666,15.07100472,,,,,
98,0.027222222,10-08-22 05:38:37,73.63,38.58,0.37,0.001388889,23.07421685,,,,,
103,0.028611111,10-08-22 05:38:43,82.32,38.97,0.39,0.001388889,24.32147181,,,,,
108,0.03,10-08-22 05:38:48,81.07,39.26,0.29,0.001388889,18.08519699,,,,,
113,0.031388889,10-08-22 05:38:53,72.39,39.72,0.46,0.001388889,28.68686419,,,,,
118,0.032777778,10-08-22 05:38:58,82.32,40.01,0.29,0.001388889,18.08519699,,,,,
124,0.034444444,10-08-22 05:39:03,74.87,40.38,0.37,0.001666666,19.22852327,,,,,
129,0.035833333,10-08-22 05:39:08,82.32,40.78,0.4,0.001388889,24.94509929,,,,,
134,0.037222222,10-08-22 05:39:14,81.07,41.07,0.29,0.001388889,18.08519699,,,,,
139,0.038611111,10-08-22 05:39:19,72.39,41.52,0.45,0.001388889,28.0632367,,,,,
144,0.04,10-08-22 05:39:24,81.07,41.82,0.3,0.001388889,18.70882447,,,,,
150,0.041666667,10-08-22 05:39:29,77.35,42.17,0.35,0.001666667,18.18913272,,,,,
155,0.043055556,10-08-22 05:39:34,79.83,42.59,0.42,0.001388889,26.19235426,,,,,
160,0.044444444,10-08-22 05:39:40,81.07,42.87,0.28,0.001388888,17.46158208,,,,,
165,0.045833333,10-08-22 05:39:45,71.14,43.32,0.45,0.001388889,28.0632367,,,,,
170,0.047222222,10-08-22 05:39:50,83.56,43.63,0.31,0.001388889,19.33245195,,,,,
175,0.048611111,10-08-22 05:39:55,77.35,43.97,0.34,0.001388889,21.2033344,,,,,
181,0.050277778,10-08-22 05:40:00,79.83,44.4,0.43,0.001666667,22.34664877,,,,,
186,0.051666667,10-08-22 05:40:05,81.07,44.68,0.28,0.001388889,17.46156951,,,,,
191,0.053055556,10-08-22 05:40:11,69.9,45.12,0.44,0.001388889,27.43960922,,,,,
196,0.054444444,10-08-22 05:40:16,82.32,45.45,0.33,0.001388888,20.57972173,,,,,
201,0.055833333,10-08-22 05:40:21,78.59,45.77,0.32,0.001388889,19.95607943,,,,,
207,0.0575,10-08-22 05:40:26,78.59,46.22,0.45,0.001666667,23.38602778,,,,,
212,0.058888889,10-08-22 05:40:31,82.32,46.5,0.28,0.001388889,17.46156951,,,,,
217,0.060277778,10-08-22 05:40:37,71.14,46.93,0.43,0.001388889,26.81598174,,,,,
222,0.061666667,10-08-22 05:40:42,82.32,47.26,0.33,0.001388889,20.57970692,,,,,
227,0.063055556,10-08-22 05:40:47,78.59,47.57,0.31,0.001388889,19.33245195,,,,,
232,0.064444444,10-08-22 05:40:52,76.11,48.03,0.46,0.001388888,28.68688484,,,,,
238,0.066111111,10-08-22 05:40:57,81.07,48.31,0.28,0.001666667,14.55130617,,,,,
243,0.0675,10-08-22 05:41:02,72.39,48.72,0.41,0.001388889,25.56872678,,,,,
248,0.068888889,10-08-22 05:41:08,82.32,49.07,0.35,0.001388889,21.82696188,,,,,
253,0.070277778,10-08-22 05:41:13,79.83,49.37,0.3,0.001388889,18.70882447,,,,,
258,0.071666667,10-08-22 05:41:18,76.11,49.84,0.47,0.001388889,29.31049167,,,,,
264,0.073333333,10-08-22 05:41:23,81.07,50.12,0.28,0.001666666,14.55131491,,,,,
269,0.074722222,10-08-22 05:41:28,72.39,50.52,0.4,0.001388889,24.94509929,,,,,
274,0.076111111,10-08-22 05:41:34,81.07,50.89,0.37,0.001388889,23.07421685,,,,,
279,0.0775,10-08-22 05:41:39,81.07,51.17,0.28,0.001388889,17.46156951,,,,,
284,0.078888889,10-08-22 05:41:44,73.63,51.65,0.48,0.001388889,29.93411915,,,,,
289,0.080277778,10-08-22 05:41:49,82.32,51.91,0.26,0.001388889,16.21431454,,,,,
295,0.081944444,10-08-22 05:41:54,73.63,52.32,0.41,0.001666666,21.30728254,,,,,
300,0.083333333,10-08-22 05:41:59,82.32,52.69,0.37,0.001388889,23.07421685,,,,,
305,0.084722222,10-08-22 05:42:05,81.07,52.98,0.29,0.001388889,18.08519699,,,,,
310,0.086111111,10-08-22 05:42:10,73.63,53.44,0.46,0.001388889,28.68686419,,,,,
315,0.0875,10-08-22 05:42:15,81.07,53.74,0.3,0.001388889,18.70882447,,,,,
320,0.088888889,10-08-22 05:42:20,74.87,54.12,0.38,0.001388889,23.69784433,,,,,
326,0.090555556,10-08-22 05:42:25,81.07,54.52,0.4,0.001666667,20.78758025,,,,,
331,0.091944444,10-08-22 05:42:30,81.07,54.81,0.29,0.001388888,18.08521001,,,,,
336,0.093333333,10-08-22 05:42:36,71.14,55.27,0.46,0.001388889,28.68686419,,,,,
341,0.094722222,10-08-22 05:42:41,81.07,110.29,55.02,0.001388889,3431.198408,,,,,
346,0.096111111,10-08-22 05:42:46,77.35,55.51,-54.78,0.001388889,-3416.231348,,,,,
352,0.097777778,10-08-22 05:42:51,81.07,56.32,0.81,0.001666667,42.09485001,,,,,
357,0.099166667,10-08-22 05:42:56,81.07,56.61,0.29,0.001388889,18.08519699,,,,,
362,0.100555556,10-08-22 05:43:02,71.14,57.06,0.45,0.001388889,28.0632367,,,,,
367,0.101944444,10-08-22 05:43:07,82.32,57.39,0.33,0.001388888,20.57972173,,,,,
372,0.103333333,10-08-22 05:43:12,78.59,57.71,0.32,0.001388889,19.95607943,,,,,
377,0.104722222,10-08-22 05:43:17,79.83,58.15,0.44,0.001388889,27.43960922,,,,,
383,0.106388889,10-08-22 05:43:22,81.07,58.42,0.27,0.001666667,14.03161667,,,,,
388,0.107777778,10-08-22 05:43:27,71.14,58.87,0.45,0.001388889,28.0632367,,,,,
393,0.109166667,10-08-22 05:43:33,82.32,59.19,0.32,0.001388889,19.95607943,,,,,
398,0.110555556,10-08-22 05:43:38,78.59,59.5,0.31,0.001388889,19.33245195,,,,,
403,0.111944444,10-08-22 05:43:43,77.35,59.97,0.47,0.001388888,29.31051277,,,,,
409,0.113611111,10-08-22 05:43:48,82.32,60.24,0.27,0.001666667,14.03161667,,,,,
414,0.115,10-08-22 05:43:53,71.14,60.67,0.43,0.001388889,26.81598174,,,,,
419,0.116388889,10-08-22 05:43:59,83.56,61,0.33,0.001388889,20.57970692,,,,,
424,0.117777778,10-08-22 05:44:04,78.59,61.32,0.32,0.001388889,19.95607943,,,,,
429,0.119166667,10-08-22 05:44:09,77.35,61.77,0.45,0.001388889,28.0632367,,,,,
434,0.120555556,10-08-22 05:44:14,82.32,62.05,0.28,0.001388889,17.46156951,,,,,
440,0.122222222,10-08-22 05:44:19,72.39,62.47,0.42,0.001666666,21.82697236,,,,,
445,0.123611111,10-08-22 05:44:24,82.32,62.82,0.35,0.001388889,21.82696188,,,,,
450,0.125,10-08-22 05:44:30,79.83,63.12,0.3,0.001388889,18.70882447,,,,,
455,0.126388889,10-08-22 05:44:35,76.11,63.59,0.47,0.001388889,29.31049167,,,,,
